Date,Open,High,Low,Close,Volume
2023-02-23,88.91,89.16,88.44,89.04,358503
2023-02-24,89.62,89.96,89.19,89.35,191878
2023-02-25,90.62,91.03,90.31,90.29,367039
2023-02-26,90.36,90.85,90.14,90.35,219968
2023-02-27,89.12,89.55,88.64,89.7,477844
2023-02-28,90.02,90.41,88.76,90.29,176559
2023-03-01,90.62,91.04,89.73,90.43,110699
2023-03-02,90.13,90.42,89.95,90.52,296133
2023-03-03,90.61,92.68,90.17,89.18,109715
2023-03-04,89.36,90.23,87.92,89.94,119169
2023-03-05,88.16,88.49,87.96,87.29,218413
2023-03-06,89.22,90.42,88.19,89.04,219264
2023-03-07,89.93,90.34,88.45,89.37,367926
2023-03-08,90.19,92.23,89.92,89.54,319249
2023-03-09,90.7,91.71,89.81,91.28,224481
2023-03-10,91.38,93.25,91.3,91.14,315400
2023-03-11,90.51,90.86,89.44,90.68,135585
2023-03-12,90.98,91.0,90.46,90.96,392826
2023-03-13,92.77,94.44,91.36,93.01,278936
2023-03-14,92.02,92.35,89.73,92.06,492136
2023-03-15,95.04,95.26,94.68,94.4,446560
2023-03-16,90.88,91.71,90.43,91.37,489954
2023-03-17,91.59,93.8,90.14,91.35,138067
2023-03-18,92.87,93.1,91.29,92.09,273757
2023-03-19,92.38,93.16,91.86,92.17,353334
2023-03-20,92.39,93.87,91.97,93.14,118073
2023-03-21,90.41,91.55,90.13,90.83,136035
2023-03-22,89.87,90.21,88.52,89.69,296049
2023-03-23,89.78,90.2,88.86,89.61,333782
2023-03-24,91.75,92.38,90.74,91.59,190373
2023-03-25,90.85,93.12,90.08,91.89,445506
2023-03-26,90.87,91.05,90.83,91.06,190517
2023-03-27,89.81,90.05,89.57,90.02,165450
2023-03-28,90.38,90.84,88.83,90.9,110382
2023-03-29,90.96,91.81,89.96,91.08,497653
2023-03-30,90.8,91.63,89.82,90.67,302043
2023-03-31,90.83,91.68,90.61,90.73,321427
2023-04-01,90.79,90.86,90.74,90.76,161929
2023-04-02,92.29,92.77,91.62,92.28,333483
2023-04-03,91.59,92.07,90.47,91.96,328590
2023-04-04,90.89,91.22,90.51,90.92,461008
2023-04-05,90.52,91.55,90.35,90.88,243401
2023-04-06,89.4,89.91,88.91,89.36,356677
2023-04-07,88.86,89.13,88.57,88.9,387313
2023-04-08,89.14,90.12,86.69,88.14,187468
2023-04-09,89.49,89.94,88.85,89.95,134594
2023-04-10,89.51,89.89,88.98,89.68,291703
2023-04-11,88.36,89.11,87.73,88.85,145033
2023-04-12,88.52,89.44,87.96,87.07,163133
2023-04-13,87.87,88.74,87.23,88.91,173861
2023-04-14,86.55,87.91,85.37,86.48,283362
2023-04-15,86.46,86.88,85.04,87.02,393894
2023-04-16,86.38,88.25,85.81,85.86,140461
2023-04-17,88.75,89.53,87.92,89.06,178222
2023-04-18,88.79,90.04,88.32,88.27,212020
2023-04-19,89.36,91.14,88.8,89.04,386370
2023-04-20,88.71,90.2,88.07,89.66,368865
2023-04-21,87.46,88.12,87.26,87.37,120609
2023-04-22,87.94,88.0,86.43,88.05,230513
2023-04-23,87.18,87.46,85.63,87.62,303981
2023-04-24,89.9,91.03,88.1,90.15,204211
2023-04-25,89.85,92.3,89.24,89.93,286321
2023-04-26,89.61,89.74,89.22,89.79,498872
2023-04-27,89.89,90.0,89.6,91.09,487009
2023-04-28,88.61,89.34,88.28,88.58,436664
2023-04-29,89.8,90.28,89.14,89.9,426453
2023-04-30,90.11,90.34,88.1,90.64,129984
2023-05-01,91.3,92.09,91.13,91.86,218947
2023-05-02,90.63,91.1,89.83,91.22,304894
2023-05-03,92.51,94.39,91.13,92.83,105901
2023-05-04,90.86,92.21,90.13,90.29,262624
2023-05-05,92.05,93.64,92.01,92.86,322317
2023-05-06,92.78,93.29,90.98,92.2,393199
2023-05-07,92.61,93.59,92.09,92.76,268757
2023-05-08,91.69,91.82,91.47,91.32,245788
2023-05-09,92.8,92.85,92.78,92.77,214099
2023-05-10,90.79,91.89,89.61,90.96,111138
2023-05-11,89.23,90.92,86.7,89.39,266370
2023-05-12,89.42,90.95,88.89,89.63,123429
2023-05-13,87.59,87.75,87.1,88.4,150200
2023-05-14,88.87,89.29,87.82,89.09,302380
2023-05-15,87.83,88.84,87.15,87.71,348289
2023-05-16,89.83,91.49,87.99,90.32,345127
2023-05-17,89.15,89.97,88.56,89.74,463412
2023-05-18,89.59,89.66,89.23,88.98,336513
2023-05-19,89.94,91.23,89.35,90.24,117347
2023-05-20,87.95,89.24,86.84,88.3,247992
2023-05-21,88.01,88.35,87.19,87.87,131822
2023-05-22,90.02,91.69,89.51,90.7,140108
2023-05-23,87.5,87.76,86.44,87.43,491099
2023-05-24,89.26,90.77,88.09,89.33,107967
2023-05-25,89.2,89.44,87.82,89.11,472863
2023-05-26,89.15,89.43,88.51,89.16,111871
2023-05-27,87.3,89.99,87.13,86.75,325371
2023-05-28,87.51,87.56,87.36,86.79,308524
2023-05-29,87.3,87.53,86.09,88.09,305342
2023-05-30,88.27,88.97,87.45,87.85,264685
2023-05-31,87.1,88.95,86.74,86.61,128179
2023-06-01,87.95,89.07,87.55,86.87,351537
2023-06-02,87.57,87.84,87.54,87.25,283260
2023-06-03,87.82,88.93,86.55,87.16,417243
2023-06-04,87.87,90.44,87.68,88.69,135262
2023-06-05,87.69,87.75,87.64,88.2,440357
2023-06-06,88.71,88.72,87.35,88.37,479551
2023-06-07,89.65,89.67,88.9,90.77,448413
2023-06-08,88.59,88.79,87.94,89.08,160545
2023-06-09,89.44,89.59,87.28,89.28,334555
2023-06-10,88.56,89.14,88.26,87.32,323894
2023-06-11,88.43,88.98,88.21,89.58,303218
2023-06-12,89.39,89.42,89.14,88.69,402066
2023-06-13,89.97,90.52,88.4,89.15,142913
2023-06-14,90.46,91.18,90.37,90.97,459177
2023-06-15,90.34,90.44,90.06,91.56,466936
2023-06-16,92.31,92.56,91.7,93.0,350497
2023-06-17,93.49,94.99,93.3,93.77,277404
2023-06-18,93.77,96.42,93.33,94.07,482007
2023-06-19,92.46,93.56,92.27,92.89,256104
2023-06-20,92.57,93.82,91.5,92.95,268918
2023-06-21,91.6,93.68,90.58,91.74,290546
2023-06-22,90.52,90.87,90.39,90.58,144936
2023-06-23,91.47,91.85,90.77,91.44,260866
2023-06-24,91.59,93.0,90.39,91.21,292660
2023-06-25,92.78,93.55,91.25,92.64,302056
2023-06-26,91.62,92.73,91.06,90.78,325469
2023-06-27,93.9,95.65,93.52,93.85,128141
2023-06-28,93.82,94.76,92.26,93.33,237478
2023-06-29,95.14,96.41,95.07,94.58,197359
2023-06-30,96.05,96.77,95.49,96.14,485423
2023-07-01,94.76,95.89,92.88,95.46,254363
2023-07-02,94.58,95.1,93.13,95.04,141568
2023-07-03,95.55,96.04,93.35,94.77,197539
2023-07-04,95.72,96.94,95.28,95.23,146851
2023-07-05,95.72,96.44,95.22,96.19,154823
2023-07-06,96.97,97.21,95.95,96.48,123312
2023-07-07,95.4,95.77,94.69,95.28,299900
2023-07-08,94.39,95.1,94.14,94.66,460867
2023-07-09,93.7,94.14,93.13,93.21,374555
2023-07-10,93.47,93.83,92.19,93.52,349062
2023-07-11,94.12,95.28,93.25,93.45,419153
2023-07-12,93.31,94.4,92.66,93.01,132371
2023-07-13,93.06,93.67,92.96,93.22,157022
2023-07-14,92.62,93.22,90.78,91.83,433373
2023-07-15,94.0,94.31,92.93,94.22,199071
2023-07-16,92.96,93.29,91.43,92.95,282268
2023-07-17,92.46,93.71,91.77,92.74,458918
2023-07-18,92.73,93.66,92.69,92.84,388859
2023-07-19,91.32,91.5,91.07,92.0,389749
2023-07-20,92.17,92.69,91.93,92.23,199853
2023-07-21,93.24,94.29,92.89,93.03,131174
2023-07-22,93.35,94.06,92.1,93.42,176373
2023-07-23,95.15,96.56,93.71,95.42,431396
2023-07-24,93.26,94.82,93.18,93.28,293021
2023-07-25,92.19,92.8,91.07,92.21,293718
2023-07-26,93.05,94.33,92.7,92.7,170017
2023-07-27,93.1,94.85,92.64,92.77,163037
2023-07-28,93.85,95.93,93.28,93.15,189818
2023-07-29,97.38,99.08,96.94,98.26,106548
2023-07-30,99.54,99.75,98.89,98.91,216981
2023-07-31,99.71,99.8,98.38,99.36,334213
2023-08-01,100.29,100.84,100.1,99.93,304366
2023-08-02,101.4,101.8,100.69,101.85,254249
2023-08-03,100.92,100.96,100.83,100.78,386166
2023-08-04,101.63,102.73,100.19,102.25,206297
2023-08-05,101.27,101.39,100.6,100.94,236614
2023-08-06,101.11,101.26,99.31,101.25,322084
2023-08-07,99.98,100.34,99.94,99.56,160428
2023-08-08,100.04,100.09,98.61,101.11,253812
2023-08-09,102.5,102.81,102.37,101.91,421497
2023-08-10,99.62,101.33,98.94,99.78,213132
2023-08-11,100.7,102.05,99.86,101.02,287604
2023-08-12,100.53,101.27,99.88,100.74,116052
2023-08-13,100.2,100.37,99.75,100.1,200689
2023-08-14,100.34,100.52,98.45,100.27,278148
2023-08-15,100.82,100.83,100.36,100.84,231743
2023-08-16,99.6,99.95,97.18,99.53,362307
2023-08-17,100.27,100.81,98.69,100.76,403568
2023-08-18,99.97,100.75,99.21,101.08,235870
2023-08-19,98.62,98.82,97.83,98.34,384564
2023-08-20,98.42,99.4,98.0,97.74,220575
2023-08-21,98.14,98.55,97.18,98.1,358230
2023-08-22,98.4,100.1,98.35,99.69,391444
2023-08-23,100.06,101.09,100.06,99.66,452025
2023-08-24,100.36,100.83,99.2,101.18,110749
2023-08-25,98.72,98.98,97.22,99.56,204131
2023-08-26,98.69,99.67,97.81,98.42,256193
2023-08-27,99.41,101.08,99.19,99.7,490707
2023-08-28,99.86,100.88,99.84,100.68,399631
2023-08-29,98.63,100.47,98.42,98.44,325019
2023-08-30,99.26,100.54,97.21,99.15,383367
2023-08-31,99.06,99.68,98.81,98.77,172930
2023-09-01,99.46,99.48,98.77,98.95,245128
2023-09-02,99.45,99.97,98.45,99.12,390524
2023-09-03,98.62,99.35,98.34,98.01,388179
2023-09-04,97.36,97.55,95.56,97.38,392764
2023-09-05,97.13,97.88,96.49,96.74,356553
2023-09-06,98.55,99.16,97.98,98.67,295113
2023-09-07,98.7,100.11,98.13,97.92,479504
